DATE,IRIE,IRIE_peak,IEIR,IEIR_peak
2020-03-18 13:50:00,1.5556578914e+08,1.5556578914e+08,4.2086890138e+07,4.2086890138e+07
2020-03-18 13:55:00,1.3384572135e+08,1.3384572135e+08,9.4541445499e+07,9.4541445499e+07
2020-03-18 14:00:00,1.2859782753e+08,1.2859782753e+08,4.6232398956e+07,4.6232398956e+07
2020-03-18 14:05:00,1.5632309215e+08,1.5632309215e+08,4.6717503718e+07,4.6717503718e+07
2020-03-18 14:10:00,1.3385446855e+08,1.3385446855e+08,5.3013751180e+07,5.3013751180e+07
2020-03-18 14:15:00,1.4174744969e+08,1.4174744969e+08,5.7592213371e+07,5.7592213371e+07
2020-03-18 14:20:00,1.5641567491e+08,1.5641567491e+08,4.1037635133e+07,4.1037635133e+07
2020-03-18 14:25:00,1.7826383186e+08,1.7826383186e+08,4.3911034063e+07,4.3911034063e+07
2020-03-18 14:30:00,1.5812559573e+08,1.5812559573e+08,3.7436981341e+07,3.7436981341e+07
2020-03-18 14:35:00,1.5625048467e+08,1.5625048467e+08,3.4446249973e+07,3.4446249973e+07
2020-03-18 14:40:00,1.3438121764e+08,1.3438121764e+08,5.1097174739e+07,5.1097174739e+07
2020-03-18 14:45:00,1.3363888469e+08,1.3363888469e+08,4.6576200708e+07,4.6576200708e+07
2020-03-18 14:50:00,1.4313097571e+08,1.4313097571e+08,4.3150347737e+07,4.3150347737e+07
2020-03-18 14:55:00,1.3771706596e+08,1.3771706596e+08,3.3676160629e+07,3.3676160629e+07
2020-03-18 15:00:00,1.4352317899e+08,1.4352317899e+08,3.3276743491e+07,3.3276743491e+07
2020-03-18 15:05:00,1.5770963721e+08,1.5770963721e+08,4.8466501704e+07,4.8466501704e+07
2020-03-18 15:10:00,1.4670685979e+08,1.4670685979e+08,4.4131342051e+07,4.4131342051e+07
2020-03-18 15:15:00,1.4290782165e+08,1.4290782165e+08,4.8829265601e+07,4.8829265601e+07
2020-03-18 15:20:00,1.3085174571e+08,1.3085174571e+08,4.5770435989e+07,4.5770435989e+07
2020-03-18 15:25:00,1.4801693883e+08,1.4801693883e+08,4.0425834926e+07,4.0425834926e+07
2020-03-18 15:30:00,1.5190493673e+08,1.5190493673e+08,4.1888642734e+07,4.1888642734e+07
2020-03-18 15:35:00,1.5924844908e+08,1.5924844908e+08,4.5848403676e+07,4.5848403676e+07
2020-03-18 15:40:00,1.9120415587e+08,1.9120415587e+08,4.5383084698e+07,4.5383084698e+07
2020-03-18 15:45:00,3.6760627829e+08,3.6760627829e+08,3.8441492520e+07,3.8441492520e+07
2020-03-18 15:50:00,3.7114335341e+08,3.7114335341e+08,4.4632929601e+07,4.4632929601e+07
2020-03-18 15:55:00,3.8110234219e+08,3.8110234219e+08,3.6429846680e+07,3.6429846680e+07
2020-03-18 16:00:00,3.7033186326e+08,3.7033186326e+08,5.3732142521e+07,5.3732142521e+07
2020-03-18 16:05:00,3.6738945893e+08,3.6738945893e+08,9.9896766049e+07,9.9896766049e+07
2020-03-18 16:10:00,4.1507400170e+08,4.1507400170e+08,4.1462902943e+07,4.1462902943e+07
2020-03-18 16:15:00,3.8118367159e+08,3.8118367159e+08,3.8559837278e+07,3.8559837278e+07
2020-03-18 16:20:00,3.3900855621e+08,3.3900855621e+08,5.4099828076e+07,5.4099828076e+07
2020-03-18 16:25:00,3.9887354891e+08,3.9887354891e+08,4.6023663069e+07,4.6023663069e+07
2020-03-18 16:30:00,3.4942617920e+08,3.4942617920e+08,5.7327582771e+07,5.7327582771e+07
2020-03-18 16:35:00,3.4940157095e+08,3.4940157095e+08,4.5452123456e+07,4.5452123456e+07
2020-03-18 16:40:00,3.6052440519e+08,3.6052440519e+08,5.5303574112e+07,5.5303574112e+07
2020-03-18 16:45:00,3.1360336883e+08,3.1360336883e+08,4.4711295234e+07,4.4711295234e+07
2020-03-18 16:50:00,3.2577198288e+08,3.2577198288e+08,3.9156211949e+07,3.9156211949e+07
2020-03-18 16:55:00,3.3062352687e+08,3.3062352687e+08,8.5487722769e+07,8.5487722769e+07
2020-03-18 17:00:00,3.0954310060e+08,3.0954310060e+08,2.7182461111e+07,2.7182461111e+07
2020-03-18 17:05:00,3.5589126296e+08,3.5589126296e+08,2.3058140683e+07,2.3058140683e+07
2020-03-18 17:10:00,3.3958779243e+08,3.3958779243e+08,3.8456820561e+07,3.8456820561e+07
2020-03-18 17:15:00,3.0448116718e+08,3.0448116718e+08,3.9845045865e+07,3.9845045865e+07
2020-03-18 17:20:00,2.5553629037e+08,2.5553629037e+08,4.2219156237e+07,4.2219156237e+07
2020-03-18 17:25:00,1.4305662831e+08,1.4305662831e+08,3.8935483748e+07,3.8935483748e+07
2020-03-18 17:30:00,1.3439833037e+08,1.3439833037e+08,2.1578154972e+07,2.1578154972e+07
2020-03-18 17:35:00,1.2248348895e+08,1.2248348895e+08,1.9974055659e+07,1.9974055659e+07
2020-03-18 17:40:00,1.4128615970e+08,1.4128615970e+08,3.8824655499e+07,3.8824655499e+07
2020-03-18 17:45:00,1.2783161404e+08,1.2783161404e+08,3.4117591647e+07,3.4117591647e+07
2020-03-18 17:50:00,1.1277864269e+08,1.1277864269e+08,3.9191537882e+07,3.9191537882e+07
2020-03-18 17:55:00,1.2050947464e+08,1.2050947464e+08,3.4228064628e+07,3.4228064628e+07
2020-03-18 18:00:00,1.2048435464e+08,1.2048435464e+08,5.8646034356e+07,5.8646034356e+07
2020-03-18 18:05:00,9.1209028827e+07,9.1209028827e+07,4.2309822064e+07,4.2309822064e+07
2020-03-18 18:10:00,9.1773345444e+07,9.1773345444e+07,4.4223236676e+07,4.4223236676e+07
2020-03-18 18:15:00,1.0022850710e+08,1.0022850710e+08,3.7167428419e+07,3.7167428419e+07
2020-03-18 18:20:00,1.0840994216e+08,1.0840994216e+08,5.3616540833e+07,5.3616540833e+07
2020-03-18 18:25:00,1.2895582447e+08,1.2895582447e+08,1.0080150552e+08,1.0080150552e+08
2020-03-18 18:30:00,1.0960587804e+08,1.0960587804e+08,2.8153900983e+07,2.8153900983e+07
2020-03-18 18:35:00,1.0583010994e+08,1.0583010994e+08,2.1574908881e+07,2.1574908881e+07
2020-03-18 18:40:00,1.1262251152e+08,1.1262251152e+08,3.6412651441e+07,3.6412651441e+07
2020-03-18 18:45:00,1.0644197341e+08,1.0644197341e+08,3.4045150626e+07,3.4045150626e+07
2020-03-18 18:50:00,1.1856805659e+08,1.1856805659e+08,2.9875529404e+07,2.9875529404e+07
2020-03-18 18:55:00,1.0749376704e+08,1.0749376704e+08,7.0455832538e+07,7.0455832538e+07
2020-03-18 19:00:00,1.0772857146e+08,1.0772857146e+08,3.9404701452e+07,3.9404701452e+07
2020-03-18 19:05:00,1.0580540814e+08,1.0580540814e+08,3.2151056097e+07,3.2151056097e+07
2020-03-18 19:10:00,8.3848337951e+07,8.3848337951e+07,2.0795468823e+07,2.0795468823e+07
2020-03-18 19:15:00,2.4107392567e+08,2.4107392567e+08,3.7705764288e+07,3.7705764288e+07
2020-03-18 19:20:00,5.1151743826e+08,5.1151743826e+08,3.1463828330e+07,3.1463828330e+07
2020-03-18 19:25:00,1.5948457380e+08,1.5948457380e+08,1.9062102833e+07,1.9062102833e+07
2020-03-18 19:30:00,8.3432593832e+07,8.3432593832e+07,1.9014626213e+07,1.9014626213e+07
2020-03-18 19:35:00,9.5934169917e+07,9.5934169917e+07,3.3449102292e+07,3.3449102292e+07
2020-03-18 19:40:00,9.0267700646e+07,9.0267700646e+07,2.8852772674e+07,2.8852772674e+07
2020-03-18 19:45:00,1.0399820099e+08,1.0399820099e+08,5.3413906631e+07,5.3413906631e+07
2020-03-18 19:50:00,9.3602991638e+07,9.3602991638e+07,4.2972263649e+07,4.2972263649e+07
2020-03-18 19:55:00,7.6661776095e+07,7.6661776095e+07,4.1373256645e+07,4.1373256645e+07
2020-03-18 20:00:00,7.8224186088e+07,7.8224186088e+07,3.3040219639e+07,3.3040219639e+07
2020-03-18 20:05:00,8.6001362612e+07,8.6001362612e+07,2.1809839635e+07,2.1809839635e+07
2020-03-18 20:10:00,9.2072361893e+07,9.2072361893e+07,2.0375347385e+07,2.0375347385e+07
2020-03-18 20:15:00,7.0728532781e+07,7.0728532781e+07,3.2796770926e+07,3.2796770926e+07
2020-03-18 20:20:00,6.1177584314e+07,6.1177584314e+07,2.9082945969e+07,2.9082945969e+07
2020-03-18 20:25:00,8.3700378507e+07,8.3700378507e+07,1.8479345616e+07,1.8479345616e+07
2020-03-18 20:30:00,7.2304813144e+07,7.2304813144e+07,1.7417578483e+07,1.7417578483e+07
2020-03-18 20:35:00,8.1402535742e+07,8.1402535742e+07,3.3539820805e+07,3.3539820805e+07
2020-03-18 20:40:00,7.8556432695e+07,7.8556432695e+07,3.4312714993e+07,3.4312714993e+07
2020-03-18 20:45:00,6.8674066570e+07,6.8674066570e+07,8.4696571743e+07,8.4696571743e+07
2020-03-18 20:50:00,5.7718033439e+07,5.7718033439e+07,3.9715566271e+07,3.9715566271e+07
2020-03-18 20:55:00,5.9931394958e+07,5.9931394958e+07,3.0698330168e+07,3.0698330168e+07
2020-03-18 21:00:00,8.6097987363e+07,8.6097987363e+07,2.2732283757e+07,2.2732283757e+07
2020-03-18 21:05:00,1.0690305145e+08,1.0690305145e+08,2.2305624672e+07,2.2305624672e+07
2020-03-18 21:10:00,9.1239815889e+07,9.1239815889e+07,2.3396748049e+07,2.3396748049e+07
2020-03-18 21:15:00,9.1550067663e+07,9.1550067663e+07,2.4223092130e+07,2.4223092130e+07
2020-03-18 21:20:00,6.8456984280e+07,6.8456984280e+07,2.4042719677e+07,2.4042719677e+07
2020-03-18 21:25:00,5.6467964817e+07,5.6467964817e+07,2.5864455179e+07,2.5864455179e+07
2020-03-18 21:30:00,6.7460225981e+07,6.7460225981e+07,3.9478420278e+07,3.9478420278e+07
2020-03-18 21:35:00,9.2870066108e+07,9.2870066108e+07,3.6740465854e+07,3.6740465854e+07
2020-03-18 21:40:00,7.3888908622e+07,7.3888908622e+07,8.4408159486e+07,8.4408159486e+07
2020-03-18 21:45:00,6.9949141995e+07,6.9949141995e+07,3.3222139128e+07,3.3222139128e+07
2020-03-18 21:50:00,7.9512179508e+07,7.9512179508e+07,3.1500662091e+07,3.1500662091e+07
2020-03-18 21:55:00,7.2525515284e+07,7.2525515284e+07,1.8922303078e+07,1.8922303078e+07
2020-03-18 22:00:00,8.3001990624e+07,8.3001990624e+07,5.3617289620e+07,5.3617289620e+07
2020-03-18 22:05:00,1.0334686054e+08,1.0334686054e+08,3.7699308633e+07,3.7699308633e+07
2020-03-18 22:10:00,7.6979879545e+07,7.6979879545e+07,6.0881611958e+07,6.0881611958e+07
2020-03-18 22:15:00,9.1632619081e+07,9.1632619081e+07,4.3636414772e+07,4.3636414772e+07
2020-03-18 22:20:00,7.7442932786e+07,7.7442932786e+07,7.7813158107e+07,7.7813158107e+07
2020-03-18 22:25:00,1.1123112592e+08,1.1123112592e+08,3.3921611380e+07,3.3921611380e+07
2020-03-18 22:30:00,8.9076163256e+07,8.9076163256e+07,2.1129636263e+07,2.1129636263e+07
2020-03-18 22:35:00,1.2092761186e+08,1.2092761186e+08,2.3838110058e+07,2.3838110058e+07
2020-03-18 22:40:00,9.4504923236e+07,9.4504923236e+07,1.8972918161e+07,1.8972918161e+07
2020-03-18 22:45:00,8.2012618062e+07,8.2012618062e+07,1.8508483759e+07,1.8508483759e+07
2020-03-18 22:50:00,8.8484090929e+07,8.8484090929e+07,5.3129267790e+07,5.3129267790e+07
2020-03-18 22:55:00,8.7598029708e+07,8.7598029708e+07,8.1808717477e+07,8.1808717477e+07
2020-03-18 23:00:00,8.8865123250e+07,8.8865123250e+07,3.6168974778e+07,3.6168974778e+07
2020-03-18 23:05:00,1.2675798027e+08,1.2675798027e+08,4.3202287161e+07,4.3202287161e+07
2020-03-18 23:10:00,7.8051376917e+07,7.8051376917e+07,6.3491647590e+07,6.3491647590e+07
2020-03-18 23:15:00,7.2640300430e+07,7.2640300430e+07,5.8447360718e+07,5.8447360718e+07
2020-03-18 23:20:00,6.5914082540e+07,6.5914082540e+07,3.5200091790e+07,3.5200091790e+07
2020-03-18 23:25:00,8.5995310729e+07,8.5995310729e+07,3.2218786263e+07,3.2218786263e+07
2020-03-18 23:30:00,7.0432528729e+07,7.0432528729e+07,3.1486666933e+07,3.1486666933e+07
2020-03-18 23:35:00,6.5384954925e+07,6.5384954925e+07,3.7354290986e+07,3.7354290986e+07
2020-03-18 23:40:00,6.5760730076e+07,6.5760730076e+07,5.5020685051e+07,5.5020685051e+07
2020-03-18 23:45:00,7.9243646300e+07,7.9243646300e+07,3.7561192360e+07,3.7561192360e+07
2020-03-18 23:50:00,8.3920130237e+07,8.3920130237e+07,4.2196120313e+07,4.2196120313e+07
2020-03-18 23:55:00,7.7827907339e+07,7.7827907339e+07,3.1243995059e+07,3.1243995059e+07
2020-03-19 00:00:00,1.1055244814e+08,1.1055244814e+08,3.0424849167e+07,3.0424849167e+07
2020-03-19 00:05:00,8.4442079076e+07,8.4442079076e+07,3.5004093023e+07,3.5004093023e+07
2020-03-19 00:10:00,7.2061473088e+07,7.2061473088e+07,2.7247940133e+07,2.7247940133e+07
2020-03-19 00:15:00,1.0450943451e+08,1.0450943451e+08,4.5086383181e+07,4.5086383181e+07
2020-03-19 00:20:00,7.2947667879e+07,7.2947667879e+07,2.9825927235e+07,2.9825927235e+07
2020-03-19 00:25:00,5.1605537603e+07,5.1605537603e+07,3.2244260557e+07,3.2244260557e+07
2020-03-19 00:30:00,4.8168299426e+07,4.8168299426e+07,4.4364504904e+07,4.4364504904e+07
2020-03-19 00:35:00,6.6371906589e+07,6.6371906589e+07,7.8849197980e+07,7.8849197980e+07
2020-03-19 00:40:00,5.5245196193e+07,5.5245196193e+07,3.7732464263e+07,3.7732464263e+07
2020-03-19 00:45:00,6.8115052080e+07,6.8115052080e+07,2.8036378916e+07,2.8036378916e+07
2020-03-19 00:50:00,5.1258662139e+07,5.1258662139e+07,3.2666395758e+07,3.2666395758e+07
2020-03-19 00:55:00,5.4713059890e+07,5.4713059890e+07,3.1549461126e+07,3.1549461126e+07
2020-03-19 01:00:00,5.7030829842e+07,5.7030829842e+07,1.7455170946e+07,1.7455170946e+07
2020-03-19 01:05:00,7.1110285893e+07,7.1110285893e+07,2.9814362410e+07,2.9814362410e+07
2020-03-19 01:10:00,7.1330894346e+07,7.1330894346e+07,9.6111850056e+07,9.6111850056e+07
2020-03-19 01:15:00,6.8350083415e+07,6.8350083415e+07,1.4188616011e+08,1.4188616011e+08
2020-03-19 01:20:00,7.4071915664e+07,7.4071915664e+07,7.9510727753e+07,7.9510727753e+07
2020-03-19 01:25:00,5.6739112166e+07,5.6739112166e+07,3.2190585499e+07,3.2190585499e+07
2020-03-19 01:30:00,5.5424655321e+07,5.5424655321e+07,3.5741525829e+07,3.5741525829e+07
2020-03-19 01:35:00,7.8684146255e+07,7.8684146255e+07,2.8676294231e+07,2.8676294231e+07
2020-03-19 01:40:00,7.4277328944e+07,7.4277328944e+07,3.2871889221e+07,3.2871889221e+07
2020-03-19 01:45:00,6.4405883545e+07,6.4405883545e+07,2.5548327932e+07,2.5548327932e+07
2020-03-19 01:50:00,5.8023973840e+07,5.8023973840e+07,1.9048688686e+07,1.9048688686e+07
2020-03-19 01:55:00,7.9988746295e+07,7.9988746295e+07,1.7374033592e+07,1.7374033592e+07
2020-03-19 02:00:00,7.8553593718e+07,7.8553593718e+07,3.0825056311e+07,3.0825056311e+07
2020-03-19 02:05:00,6.6699493393e+07,6.6699493393e+07,4.1937411097e+07,4.1937411097e+07
2020-03-19 02:10:00,7.0399293671e+07,7.0399293671e+07,1.3163292611e+08,1.3163292611e+08
2020-03-19 02:15:00,6.3767247630e+07,6.3767247630e+07,7.5672445131e+07,7.5672445131e+07
2020-03-19 02:20:00,9.4034853993e+07,9.4034853993e+07,3.7602636665e+07,3.7602636665e+07
2020-03-19 02:25:00,6.7919854081e+07,6.7919854081e+07,2.6248009574e+07,2.6248009574e+07
2020-03-19 02:30:00,5.9781399913e+07,5.9781399913e+07,3.3291838013e+07,3.3291838013e+07
2020-03-19 02:35:00,4.8167124592e+07,4.8167124592e+07,2.6183225999e+07,2.6183225999e+07
2020-03-19 02:40:00,6.9365965250e+07,6.9365965250e+07,5.0218448447e+07,5.0218448447e+07
2020-03-19 02:45:00,5.3279758335e+07,5.3279758335e+07,3.4436441558e+07,3.4436441558e+07
2020-03-19 02:50:00,6.5395652487e+07,6.5395652487e+07,3.2036093321e+07,3.2036093321e+07
2020-03-19 02:55:00,5.4561299409e+07,5.4561299409e+07,2.6785414580e+07,2.6785414580e+07
2020-03-19 03:00:00,6.7998742740e+07,6.7998742740e+07,3.0724873255e+07,3.0724873255e+07
2020-03-19 03:05:00,8.1970842147e+07,8.1970842147e+07,2.8670820324e+07,2.8670820324e+07
2020-03-19 03:10:00,5.4269300762e+07,5.4269300762e+07,5.0722542030e+07,5.0722542030e+07
2020-03-19 03:15:00,5.0616898060e+07,5.0616898060e+07,4.0023996875e+07,4.0023996875e+07
2020-03-19 03:20:00,6.1460683181e+07,6.1460683181e+07,3.2809349828e+07,3.2809349828e+07
2020-03-19 03:25:00,5.1016389462e+07,5.1016389462e+07,7.0652270962e+07,7.0652270962e+07
2020-03-19 03:30:00,4.4174545213e+07,4.4174545213e+07,1.9719940506e+07,1.9719940506e+07
2020-03-19 03:35:00,4.6621325525e+07,4.6621325525e+07,1.6815859114e+07,1.6815859114e+07
2020-03-19 03:40:00,4.5408851271e+07,4.5408851271e+07,3.3619881149e+07,3.3619881149e+07
2020-03-19 03:45:00,4.6242704253e+07,4.6242704253e+07,3.3751541008e+07,3.3751541008e+07
2020-03-19 03:50:00,5.3932446199e+07,5.3932446199e+07,2.5882259992e+07,2.5882259992e+07
2020-03-19 03:55:00,3.8263474900e+07,3.8263474900e+07,4.9617391226e+07,4.9617391226e+07
2020-03-19 04:00:00,4.6541879474e+07,4.6541879474e+07,3.7498005317e+07,3.7498005317e+07
2020-03-19 04:05:00,5.3389405490e+07,5.3389405490e+07,3.4633848151e+07,3.4633848151e+07
2020-03-19 04:10:00,5.4240947352e+07,5.4240947352e+07,2.8125283905e+07,2.8125283905e+07
2020-03-19 04:15:00,4.6611071657e+07,4.6611071657e+07,3.2768979261e+07,3.2768979261e+07
2020-03-19 04:20:00,5.9714594994e+07,5.9714594994e+07,2.7086521277e+07,2.7086521277e+07
2020-03-19 04:25:00,4.8232710645e+07,4.8232710645e+07,5.1850013234e+07,5.1850013234e+07
2020-03-19 04:30:00,4.9609069215e+07,4.9609069215e+07,3.8432107003e+07,3.8432107003e+07
2020-03-19 04:35:00,5.1072310778e+07,5.1072310778e+07,3.8887672163e+07,3.8887672163e+07
2020-03-19 04:40:00,5.7150430345e+07,5.7150430345e+07,6.4796416081e+07,6.4796416081e+07
2020-03-19 04:45:00,5.0322707720e+07,5.0322707720e+07,8.6255067007e+07,8.6255067007e+07
2020-03-19 04:50:00,4.9145000512e+07,4.9145000512e+07,1.4528368748e+08,1.4528368748e+08
2020-03-19 04:55:00,5.5444073210e+07,5.5444073210e+07,7.5238276785e+08,7.5238276785e+08
2020-03-19 05:00:00,5.7865797834e+07,5.7865797834e+07,6.6711594681e+08,6.6711594681e+08
2020-03-19 05:05:00,7.8284953887e+07,7.8284953887e+07,6.8098395376e+08,6.8098395376e+08
2020-03-19 05:10:00,5.1878130682e+07,5.1878130682e+07,5.6326977023e+08,5.6326977023e+08
2020-03-19 05:15:00,4.2297351599e+07,4.2297351599e+07,2.3216825925e+08,2.3216825925e+08
2020-03-19 05:20:00,6.2615930118e+07,6.2615930118e+07,6.9125630512e+08,6.9125630512e+08
2020-03-19 05:25:00,5.1325437735e+07,5.1325437735e+07,3.5510011872e+08,3.5510011872e+08
2020-03-19 05:30:00,5.1306867652e+07,5.1306867652e+07,5.6371629282e+08,5.6371629282e+08
2020-03-19 05:35:00,4.4796074168e+07,4.4796074168e+07,3.0897969576e+08,3.0897969576e+08
2020-03-19 05:40:00,4.5479446712e+07,4.5479446712e+07,4.1231237313e+08,4.1231237313e+08
2020-03-19 05:45:00,5.9689396443e+07,5.9689396443e+07,3.7487568074e+08,3.7487568074e+08
2020-03-19 05:50:00,5.0372370301e+07,5.0372370301e+07,8.0253311744e+08,8.0253311744e+08
2020-03-19 05:55:00,4.8865287520e+07,4.8865287520e+07,5.9296734341e+08,5.9296734341e+08
2020-03-19 06:00:00,7.1596675390e+07,7.1596675390e+07,7.1287777539e+08,7.1287777539e+08
2020-03-19 06:05:00,6.6066007700e+07,6.6066007700e+07,5.6507999001e+08,5.6507999001e+08
2020-03-19 06:10:00,5.9287611112e+07,5.9287611112e+07,8.3716714708e+08,8.3716714708e+08
2020-03-19 06:15:00,5.6449391350e+07,5.6449391350e+07,7.7609234801e+08,7.7609234801e+08
2020-03-19 06:20:00,5.8543048688e+07,5.8543048688e+07,4.4871096139e+08,4.4871096139e+08
2020-03-19 06:25:00,5.4940887395e+07,5.4940887395e+07,8.6220142867e+08,8.6220142867e+08
2020-03-19 06:30:00,6.3669896032e+07,6.3669896032e+07,7.0454847495e+08,7.0454847495e+08
2020-03-19 06:35:00,7.5772336155e+07,7.5772336155e+07,4.4567426944e+08,4.4567426944e+08
2020-03-19 06:40:00,6.1717929869e+07,6.1717929869e+07,7.4404780498e+07,7.4404780498e+07
2020-03-19 06:45:00,6.9613621560e+07,6.9613621560e+07,4.6473183568e+07,4.6473183568e+07
2020-03-19 06:50:00,6.1919404486e+07,6.1919404486e+07,4.5088148724e+07,4.5088148724e+07
2020-03-19 06:55:00,6.3795224541e+07,6.3795224541e+07,1.4684409218e+08,1.4684409218e+08
2020-03-19 07:00:00,6.4138749938e+07,6.4138749938e+07,5.1315736535e+07,5.1315736535e+07
2020-03-19 07:05:00,6.8397873309e+07,6.8397873309e+07,5.0112272255e+07,5.0112272255e+07
2020-03-19 07:10:00,9.3605134148e+07,9.3605134148e+07,4.6099302002e+07,4.6099302002e+07
2020-03-19 07:15:00,6.9579195094e+07,6.9579195094e+07,3.2041198516e+07,3.2041198516e+07
2020-03-19 07:20:00,7.3964520686e+07,7.3964520686e+07,4.8034308975e+07,4.8034308975e+07
2020-03-19 07:25:00,7.5391147316e+07,7.5391147316e+07,4.9291787639e+07,4.9291787639e+07
2020-03-19 07:30:00,7.2235903138e+07,7.2235903138e+07,5.0855749294e+07,5.0855749294e+07
2020-03-19 07:35:00,7.6131867881e+07,7.6131867881e+07,5.1955096216e+07,5.1955096216e+07
2020-03-19 07:40:00,8.3171714027e+07,8.3171714027e+07,6.6970902970e+07,6.6970902970e+07
2020-03-19 07:45:00,9.2609327868e+07,9.2609327868e+07,5.6676814559e+07,5.6676814559e+07
2020-03-19 07:50:00,8.9872069570e+07,8.9872069570e+07,3.8228719559e+07,3.8228719559e+07
2020-03-19 07:55:00,1.5426179948e+08,1.5426179948e+08,3.4738196932e+07,3.4738196932e+07
2020-03-19 08:00:00,1.8048214586e+08,1.8048214586e+08,3.4809259978e+07,3.4809259978e+07
2020-03-19 08:05:00,2.0113788202e+08,2.0113788202e+08,7.7445460486e+07,7.7445460486e+07
2020-03-19 08:10:00,1.9716951069e+08,1.9716951069e+08,5.8118038924e+07,5.8118038924e+07
2020-03-19 08:15:00,1.7158450582e+08,1.7158450582e+08,4.6617923668e+07,4.6617923668e+07
2020-03-19 08:20:00,1.4466750705e+08,1.4466750705e+08,2.6821916297e+07,2.6821916297e+07
2020-03-19 08:25:00,1.5107196879e+08,1.5107196879e+08,2.5625872957e+07,2.5625872957e+07
2020-03-19 08:30:00,1.7074941257e+08,1.7074941257e+08,5.0720340776e+07,5.0720340776e+07
2020-03-19 08:35:00,1.7248276484e+08,1.7248276484e+08,4.5602372818e+07,4.5602372818e+07
2020-03-19 08:40:00,1.8285096059e+08,1.8285096059e+08,3.9678688956e+07,3.9678688956e+07
2020-03-19 08:45:00,1.8093663134e+08,1.8093663134e+08,5.2066101659e+07,5.2066101659e+07
2020-03-19 08:50:00,1.7129294790e+08,1.7129294790e+08,5.0459714866e+07,5.0459714866e+07
2020-03-19 08:55:00,1.6360987023e+08,1.6360987023e+08,4.8209141438e+07,4.8209141438e+07
2020-03-19 09:00:00,1.7953427596e+08,1.7953427596e+08,7.3290918962e+07,7.3290918962e+07
2020-03-19 09:05:00,1.9680243636e+08,1.9680243636e+08,4.2939491835e+07,4.2939491835e+07
2020-03-19 09:10:00,1.9780318518e+08,1.9780318518e+08,9.6743965710e+07,9.6743965710e+07
2020-03-19 09:15:00,1.8259928435e+08,1.8259928435e+08,3.9164872803e+07,3.9164872803e+07
2020-03-19 09:20:00,1.9173929790e+08,1.9173929790e+08,8.0694410406e+07,8.0694410406e+07
2020-03-19 09:25:00,1.8622912056e+08,1.8622912056e+08,5.3341255434e+07,5.3341255434e+07
2020-03-19 09:30:00,1.8199494223e+08,1.8199494223e+08,4.3050768765e+07,4.3050768765e+07
2020-03-19 09:35:00,2.1355400364e+08,2.1355400364e+08,4.7347677466e+07,4.7347677466e+07
2020-03-19 09:40:00,1.9284849611e+08,1.9284849611e+08,4.1742911070e+07,4.1742911070e+07
2020-03-19 09:45:00,1.7765693202e+08,1.7765693202e+08,3.9818120902e+07,3.9818120902e+07
2020-03-19 09:50:00,1.7902939830e+08,1.7902939830e+08,3.6266978768e+07,3.6266978768e+07
2020-03-19 09:55:00,1.8251542628e+08,1.8251542628e+08,3.0437770970e+07,3.0437770970e+07
2020-03-19 10:00:00,1.7535570370e+08,1.7535570370e+08,2.9799300052e+07,2.9799300052e+07
2020-03-19 10:05:00,1.8059253567e+08,1.8059253567e+08,3.1448984416e+07,3.1448984416e+07
2020-03-19 10:10:00,1.8443971254e+08,1.8443971254e+08,2.9024246690e+07,2.9024246690e+07
2020-03-19 10:15:00,2.9536615741e+08,2.9536615741e+08,3.0498372183e+07,3.0498372183e+07
2020-03-19 10:20:00,2.8065452953e+08,2.8065452953e+08,3.0859590814e+07,3.0859590814e+07
2020-03-19 10:25:00,2.0098266589e+08,2.0098266589e+08,4.0217115656e+07,4.0217115656e+07
2020-03-19 10:30:00,1.8633235130e+08,1.8633235130e+08,3.7195004488e+07,3.7195004488e+07
2020-03-19 10:35:00,1.9223066476e+08,1.9223066476e+08,3.9472338795e+07,3.9472338795e+07
2020-03-19 10:40:00,1.8709097770e+08,1.8709097770e+08,5.4670869790e+07,5.4670869790e+07
2020-03-19 10:45:00,1.8751492408e+08,1.8751492408e+08,6.1252233770e+07,6.1252233770e+07
2020-03-19 10:50:00,1.8735868032e+08,1.8735868032e+08,4.7285129134e+07,4.7285129134e+07
2020-03-19 10:55:00,1.8137404382e+08,1.8137404382e+08,3.3637054518e+07,3.3637054518e+07
2020-03-19 11:00:00,1.8238030690e+08,1.8238030690e+08,3.1955738117e+07,3.1955738117e+07
2020-03-19 11:05:00,1.9929872412e+08,1.9929872412e+08,5.5580868805e+07,5.5580868805e+07
2020-03-19 11:10:00,1.8247410728e+08,1.8247410728e+08,5.1689505555e+07,5.1689505555e+07
2020-03-19 11:15:00,1.8418817022e+08,1.8418817022e+08,5.3939806701e+07,5.3939806701e+07
2020-03-19 11:20:00,1.9207125714e+08,1.9207125714e+08,5.4596639303e+07,5.4596639303e+07
2020-03-19 11:25:00,1.8594053885e+08,1.8594053885e+08,4.6989935732e+07,4.6989935732e+07
2020-03-19 11:30:00,1.6904157491e+08,1.6904157491e+08,2.2775524632e+07,2.2775524632e+07
2020-03-19 11:35:00,1.6202521806e+08,1.6202521806e+08,3.2729416860e+07,3.2729416860e+07
2020-03-19 11:40:00,1.6613403577e+08,1.6613403577e+08,2.8087541499e+07,2.8087541499e+07
